Unnamed: 0,"IC50, mM","CC50, mM",SPS,Kappa2,Kappa3,PEOE_VSA8,SMR_VSA4,EState_VSA5,VSA_EState3,VSA_EState4,VSA_EState8,MolLogP,SI
661,243.72766,731.183,23.464285,6.5569434,2.9622374,18.883484,10.910311,24.265469,0.0,0.1894213,0.06873874,3.4328,3.0
662,32.00014,1135.2886,30.833334,4.5291452,2.2302434,19.510334,16.828217,4.8999095,9.329207,0.0,2.5513697,1.1964,1.0
663,85.05123,1012.5147,38.6,5.1590195,2.1912644,13.089513,11.835813,13.847474,13.286811,-3.1755092,3.4446228,0.6877,11.904762
664,17.579891,496.1436,33.08,6.5851264,2.9180007,19.00742,5.9179063,6.923737,13.817463,-2.6914837,1.8152472,1.8354,28.222221
665,180.31464,832.2214,16.576923,7.179213,3.414433,21.986437,0.0,9.754294,3.4976885,2.728028,2.6684792,5.16392,4.6153846
666,9.247956,35.758762,24.6,8.341823,3.3242164,22.216957,11.835813,4.877147,10.324288,2.8354352,2.4701006,4.6862,3.8666666
667,70.138214,557.1105,30.580645,6.8317204,2.610159,16.71296,23.671625,11.761885,13.952413,1.0615917,0.38713673,3.7842,7.943038
668,10.141571,25.765072,16.576923,7.0992084,3.3672354,17.254776,0.0,0.0,3.9499302,2.4151971,0.49185327,5.0404,2.5405405
669,203.52481,585.83405,25.75,6.81637,2.507041,12.462663,11.835813,6.263163,10.038868,2.7426968,0.3349766,3.2652,2.8784404
670,0.4716089,1.664502,16.206896,7.5676527,3.547349,21.80921,0.0,14.963291,4.7712393,2.7129989,0.5579666,6.0087,3.5294118
671,32.00014,1019.1741,32.727272,4.5411873,1.8745509,37.181995,5.9179063,6.4208217,4.2334466,2.0492718,2.8918824,2.8709,1.0
672,419.40445,998.58203,36.57143,4.305917,1.9276044,18.15005,5.9179063,5.5731044,4.1291895,2.2735715,6.2562046,3.1929,2.3809524
673,423.70532,977.78156,33.55,4.448638,1.9423848,23.172682,5.9179063,0.0,4.7633753,0.8804297,1.8237628,3.0661,2.3076923
674,284.67886,854.0366,33.55,4.546411,1.9952475,22.622768,5.9179063,0.0,4.1006317,0.94848526,1.8573704,3.1752,3.0
675,32.00014,1170.4713,34.63158,3.8400037,1.6694124,18.15005,5.9179063,0.0,2.9354024,0.64020336,1.4611512,2.2478,2.1231422
676,171.2696,1109.7383,37.25,3.8545294,1.6774997,18.15005,5.9179063,0.0,2.9449158,0.4952734,3.5614789,2.6379,6.4794817
677,28.168438,33.546047,30.142857,6.832534,2.9504309,5.5634513,5.9179063,5.5634513,3.4002638,1.5461276,0.66481215,3.862,1.1909091
678,17.727707,749.05804,26.827587,6.3729424,2.686048,23.589565,5.9179063,11.336786,0.90959185,2.2848976,1.7429837,4.5748,3.0443535
679,175.65318,689.7376,26.366667,6.7723637,2.8412979,28.612198,5.9179063,11.336786,1.5414692,2.1081028,1.698992,5.2282,3.9267015
680,258.97153,693.6737,29.28125,7.583484,3.0283837,32.475914,17.753717,7.047672,10.113554,2.3196428,0.7523651,2.2317,2.6785715
681,45.107212,300.71472,28.76923,5.6887574,2.3376446,12.462663,5.9179063,11.336786,0.820677,0.38320568,5.6818566,3.42192,6.6666665
682,224.97592,674.9278,31.030304,7.2666574,2.9456296,24.925325,17.753717,4.8999095,10.126722,1.9300722,0.4446975,2.7687,3.0
683,151.42249,556.0189,25.6,9.710152,4.0322537,37.560974,17.753717,24.265469,21.346783,2.1442606,0.57462174,3.7147,3.6719706
684,12.515396,595.97125,30.0,7.27069,2.9719148,40.96841,17.753717,18.384459,11.863631,1.2956893,0.31805933,3.0601,3.0443535
685,41.175217,77.48427,11.214286,4.0672526,1.6516746,19.43601,0.0,16.162165,1.1972675,0.0,0.0,3.8759,1.8818182
686,32.00014,816.3932,11.307693,7.2162333,3.436314,5.5634513,0.0,4.305216,0.0,2.283466,7.6647687,4.94474,1.1952192
687,32.00014,878.6523,26.416666,5.739996,2.4351735,23.027195,11.835813,0.0,2.0105448,3.1825886,4.649908,3.63214,1.1952192
688,234.8491,816.3932,27.0,5.9466476,2.2611265,21.986437,11.835813,21.738567,10.060538,3.1353657,0.62430555,3.6304,3.4762456
689,464.7098,1040.395,11.5,6.675756,3.5796971,17.84442,4.992405,5.5634513,4.025251,3.9473052,2.0578282,5.06572,2.238806
690,32.00014,705.2932,16.576923,7.4770308,3.591196,21.58201,0.0,4.877147,5.5352654,2.6764092,0.5407289,5.618,1.0
691,13.755841,573.16003,25.363636,7.5317206,3.0037959,21.812529,11.835813,11.336786,12.022161,2.7201257,0.3326488,4.4962,3.0443535
692,4.867035,124.63841,24.970589,7.8055153,2.9608016,22.216957,11.835813,0.0,10.267094,2.8188145,2.4166908,4.2961,25.608696
693,2.5466068,78.76104,16.576923,7.358694,3.5207598,22.131924,0.0,0.0,6.0527368,2.5012941,0.52586687,5.5089,30.927835
694,5.8069143,728.76776,16.538462,7.314629,3.3982916,12.232142,0.0,5.5634513,3.4527993,2.790453,0.63625234,4.4295,3.0443535
695,167.5372,591.3078,25.363636,7.313181,2.8979518,28.919655,11.835813,6.263163,10.087394,2.4334116,0.31155092,4.0277,3.5294118
696,32.00014,1101.4348,34.63158,4.0506663,1.7815812,18.15005,5.9179063,0.0,4.1070924,0.98187006,1.877818,2.4127,1.0
